feature_name,source_column,feature_group,transformation,timing,safe_for_prediction,notes
name,name,identifier_metadata,raw/renamed,IDENTIFIER,REVIEW,"Use for grouping, joins, or reporting; not as an unexamined numeric feature"
assists,assists,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
attempted_passes,attempted_passes,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
big_chances_created,big_chances_created,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
big_chances_missed,big_chances_missed,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
bonus,bonus,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
bps,bps,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
clean_sheets,clean_sheets,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
clearances_blocks_interceptions,clearances_blocks_interceptions,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
completed_passes,completed_passes,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
creativity,creativity,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
dribbles,dribbles,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
ea_index,ea_index,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
player_id,element,identifier_metadata,raw/renamed,IDENTIFIER,REVIEW,"Renamed from element; Use for grouping, joins, or reporting; not as an unexamined numeric feature"
errors_leading_to_goal,errors_leading_to_goal,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
errors_leading_to_goal_attempt,errors_leading_to_goal_attempt,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
fixture,fixture,identifier_metadata,raw/renamed,IDENTIFIER,REVIEW,"Use for grouping, joins, or reporting; not as an unexamined numeric feature"
fouls,fouls,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
goals_conceded,goals_conceded,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
goals_scored,goals_scored,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
ict_index,ict_index,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
id,id,identifier_metadata,raw/renamed,IDENTIFIER,REVIEW,"Use for grouping, joins, or reporting; not as an unexamined numeric feature"
influence,influence,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
key_passes,key_passes,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
kickoff_time,kickoff_time,identifier_metadata,raw/renamed,IDENTIFIER,REVIEW,"Use for grouping, joins, or reporting; not as an unexamined numeric feature"
kickoff_time_formatted,kickoff_time_formatted,identifier_metadata,raw/renamed,IDENTIFIER,REVIEW,"Use for grouping, joins, or reporting; not as an unexamined numeric feature"
loaned_in,loaned_in,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
loaned_out,loaned_out,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
minutes,minutes,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
offside,offside,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
open_play_crosses,open_play_crosses,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
opponent_team,opponent_team,identifier_metadata,raw/renamed,IDENTIFIER,REVIEW,"Use for grouping, joins, or reporting; not as an unexamined numeric feature"
own_goals,own_goals,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
penalties_conceded,penalties_conceded,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
penalties_missed,penalties_missed,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
penalties_saved,penalties_saved,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
recoveries,recoveries,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
red_cards,red_cards,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
round,round,identifier_metadata,raw/renamed,IDENTIFIER,REVIEW,"Use for grouping, joins, or reporting; not as an unexamined numeric feature"
saves,saves,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
selected,selected,market,raw snapshot,UNKNOWN,REVIEW,Exact pre/post-deadline collection timing is not guaranteed
tackled,tackled,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
tackles,tackles,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
target_missed,target_missed,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
team_a_score,team_a_score,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
team_h_score,team_h_score,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
threat,threat,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
total_points,total_points,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
transfers_balance,transfers_balance,market,raw snapshot,UNKNOWN,REVIEW,Exact pre/post-deadline collection timing is not guaranteed
transfers_in,transfers_in,market,raw snapshot,UNKNOWN,REVIEW,Exact pre/post-deadline collection timing is not guaranteed
transfers_out,transfers_out,market,raw snapshot,UNKNOWN,REVIEW,Exact pre/post-deadline collection timing is not guaranteed
value,value,market,raw snapshot,UNKNOWN,REVIEW,Exact pre/post-deadline collection timing is not guaranteed
was_home,was_home,identifier_metadata,raw/renamed,IDENTIFIER,REVIEW,"Use for grouping, joins, or reporting; not as an unexamined numeric feature"
winning_goals,winning_goals,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
yellow_cards,yellow_cards,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
